"t","a_x","a_y","a_z","a_abs"
7.564185833E-1,-2.238894196E0,3.450774078E0,5.880371704E0,7.176298512E0
7.664975833E-1,-2.262395325E0,2.106269989E0,5.622907104E0,6.416532567E0
7.765755833E-1,-2.165696411E0,-2.439926147E-2,6.614295502E0,6.959866468E0
7.866545834E-1,-2.174228668E0,3.511847076E0,6.999444580E0,8.127272889E0
7.967335833E-1,-2.142943726E0,2.990930328E0,6.381679230E0,7.366390014E0
8.068115833E-1,-1.850002899E0,1.230291595E0,6.653214569E0,7.014370409E0
8.168905833E-1,-2.240391083E0,8.601113892E-1,7.341632996E0,7.723905673E0
8.269695833E-1,-3.005300446E0,2.770738220E-1,9.178762665E0,9.662209102E0
8.370475833E-1,-4.209097137E0,-5.289999390E-1,1.058628571E1,1.140463874E1
8.471265833E-1,-5.999374237E0,-1.363813934E0,1.031011002E1,1.200628370E1
8.572045834E-1,-8.496780853E0,-9.050180054E-1,1.083686462E1,1.380043395E1
8.672835833E-1,-1.108415039E1,1.207538910E0,1.171448959E1,1.617237789E1
8.773625834E-1,-1.292607010E1,4.526437225E0,1.168185745E1,1.800104763E1
8.874404167E-1,-1.219558914E1,6.016289062E0,1.029858398E1,1.705839854E1
8.975194166E-1,-9.504036255E0,5.425317993E0,9.069340210E0,1.421315279E1
9.075984167E-1,-6.870861969E0,4.607418823E0,8.090825043E0,1.157145204E1
9.176764167E-1,-4.982838135E0,4.695884857E0,7.291786652E0,1.000250784E1
9.277554167E-1,-5.376669159E0,5.408702545E0,7.226821747E0,1.050664490E1
9.378344167E-1,-5.849386139E0,5.915847931E0,6.763684845E0,1.072194048E1
9.479124167E-1,-5.828878784E0,5.772146759E0,6.414610748E0,1.041348823E1
9.579914167E-1,-5.697901154E0,5.571414185E0,6.448440399E0,1.025129832E1
9.680694166E-1,-5.296286316E0,5.411546631E0,6.464606781E0,9.956235559E0
9.781484167E-1,-4.245770874E0,5.035378876E0,6.139482880E0,9.004157971E0
9.882274166E-1,-3.155138855E0,4.877756653E0,5.601202240E0,8.069750783E0
9.983054167E-1,-2.270628204E0,4.522844696E0,5.184768219E0,7.245253486E0
1.008384417E0,-1.739233246E0,4.765190735E0,4.831802216E0,7.005589745E0
1.018463417E0,-2.069296875E0,5.357958069E0,4.865033112E0,7.527167555E0
1.028541417E0,-2.458936615E0,5.063071289E0,4.783602448E0,7.386738965E0
1.038620417E0,-2.337988129E0,5.179080048E0,4.723726959E0,7.389360934E0
1.048698417E0,-1.487007751E0,4.899311829E0,4.498146057E0,6.815259819E0
1.058777417E0,-6.973997498E-1,4.068689117E0,4.355043640E0,6.000583526E0
1.068856417E0,-7.900570679E-1,3.745211792E0,4.568200378E0,5.959803372E0
1.078934417E0,-1.086590424E0,4.276307373E0,4.993166656E0,6.663272226E0
1.089013417E0,-3.246748352E-1,4.557123413E0,5.582790527E0,7.213898920E0
1.099092417E0,1.044827271E-1,4.650828552E0,6.456373901E0,7.957756393E0
1.109170417E0,-6.012995911E-1,5.780529327E0,6.658154297E0,8.837822081E0
1.119249417E0,-8.550219727E-1,6.622678070E0,6.731801147E0,9.481986821E0
1.129328417E0,-1.250349884E0,7.196434937E0,6.747368774E0,9.943793844E0
1.139406417E0,-1.833237762E0,7.775131531E0,6.881489868E0,1.054363950E1
1.149485417E0,-2.286345520E0,7.862998810E0,7.801327057E0,1.130994385E1
1.159563417E0,-2.524500275E0,7.624993744E0,9.536967773E0,1.246865612E1
1.169642417E0,-3.170706482E0,7.122937775E0,1.090437424E1,1.340503635E1
1.179721417E0,-3.833079071E0,6.245312805E0,1.107606720E1,1.328065103E1
1.189799417E0,-4.530179443E0,5.840255127E0,1.075708054E1,1.305166225E1
1.199878417E0,-5.191204834E0,6.134094086E0,1.065978287E1,1.334940780E1
1.209957417E0,-6.738686829E0,6.842121735E0,1.101723953E1,1.461520089E1
1.220035417E0,-8.927734680E0,7.040758667E0,1.170086792E1,1.631523948E1
1.230114417E0,-1.070723419E1,6.381978607E0,1.178828613E1,1.715628762E1
1.240192417E0,-1.230561035E1,5.247637482E0,1.151345764E1,1.765008363E1
1.250271417E0,-1.343770615E1,4.371808777E0,1.149729126E1,1.821736437E1
1.260350417E0,-1.264031433E1,3.802093506E0,1.105570953E1,1.721807697E1
1.270428417E0,-1.085827011E1,3.699556732E0,9.852212219E0,1.512133709E1
1.280507417E0,-9.116043091E0,4.212689667E0,8.434660034E0,1.311459057E1
1.290586417E0,-7.960745544E0,4.998256073E0,6.752009125E0,1.157348956E1
1.300664417E0,-7.513924713E0,5.934559021E0,4.897216187E0,1.075457027E1
1.310743417E0,-8.126001892E0,6.539451141E0,3.416195984E0,1.097573337E1
1.320822417E0,-8.972042542E0,7.145391083E0,2.655627594E0,1.177312699E1
1.330900417E0,-9.519454193E0,7.964188385E0,2.822979584E0,1.272861023E1
1.340979417E0,-9.609117737E0,8.432714081E0,3.221600647E0,1.318425277E1
1.351057417E0,-9.289083252E0,8.934919739E0,4.280348969E0,1.358091476E1
1.361136417E0,-8.329279175E0,8.261320496E0,6.904242554E0,1.361230595E1
1.371215417E0,-1.047282166E1,5.877677307E0,4.108656006E0,1.269283806E1
1.381293417E0,-1.223226288E1,6.680457916E0,6.834786987E-1,1.395435116E1
1.391372417E0,-1.264405655E1,7.723788300E0,-1.405277710E0,1.488300632E1
1.401451417E0,-1.350566483E1,8.228987732E0,-3.414848785E0,1.617962959E1
1.411529417E0,-1.301318893E1,9.157357178E0,-4.791985016E0,1.661816467E1
1.421608417E0,-1.106888214E1,1.012359787E1,-5.446723480E0,1.595851442E1
1.431686417E0,-8.691376190E0,1.187510559E1,-5.900729370E0,1.585486550E1
1.441765417E0,-6.889273682E0,1.240425522E1,-5.967041473E0,1.539263536E1
1.451844417E0,-5.864654388E0,1.203587128E1,-4.613855438E0,1.416135694E1
1.461922417E0,-5.533992004E0,1.204455322E1,-2.817890167E0,1.355126691E1
1.472001417E0,-5.358706512E0,1.223031693E1,-1.272653503E0,1.341327829E1
1.482080417E0,-4.797972565E0,1.244347366E1,2.114053802E0,1.350295527E1
1.492158417E0,-3.575764160E0,1.175280991E1,7.327861633E0,1.430427160E1
1.502237417E0,-4.017645264E0,1.124177261E1,9.013506317E0,1.495868380E1
1.512316417E0,-6.264922028E0,1.091934311E1,6.736441498E0,1.427798816E1
1.522394417E0,-7.264842682E0,9.188492432E0,5.451064453E0,1.291976919E1
1.532473417E0,-6.991660767E0,7.391778717E0,6.812932434E0,1.224490756E1
1.542551417E0,-5.958060150E0,6.938670959E0,6.435417480E0,1.118294387E1
