"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-9.477916756E-4,-4.005221100E0,4.872068481E0,6.126459961E0,8.792744680E0
9.133208310E-3,-4.519551544E0,4.649181976E0,4.793781281E0,8.063595859E0
1.921320829E-2,-4.554878082E0,4.401896210E0,4.361031189E0,7.690396454E0
2.929420833E-2,-4.170178070E0,3.976929932E0,4.586911469E0,7.365196103E0
3.937420831E-2,-3.386108551E0,3.426225128E0,5.115013275E0,7.026244413E0
4.945520830E-2,-2.622546387E0,3.190166016E0,6.041885834E0,7.318421495E0
5.953520833E-2,-1.989961853E0,3.089874573E0,7.173083496E0,8.059801480E0
6.961620832E-2,-1.543889465E0,3.212469635E0,8.153694305E0,8.898667690E0
7.969620830E-2,-1.336121521E0,3.712879028E0,8.982670441E0,9.811170146E0
8.977720828E-2,-1.197360077E0,4.240831146E0,9.682465210E0,1.063806620E1
9.985720832E-2,-1.056353302E0,4.064048767E0,9.995614014E0,1.084180217E1
1.099382083E-1,-4.025129700E-1,2.564018097E0,9.369466095E0,9.722299131E0
1.200182083E-1,8.577163696E-1,6.565347290E-1,8.107590179E0,8.179225742E0
1.300992083E-1,7.360194397E-1,-5.881269836E-1,7.204817505E0,7.266155327E0
1.401792083E-1,8.681945801E-2,-1.185235291E0,6.234086151E0,6.346349380E0
1.502602083E-1,-7.232958984E-1,-8.749305725E-1,5.996380463E0,6.102887769E0
1.603402083E-1,-1.467398529E0,-1.176553345E-1,6.315217438E0,6.484525619E0
1.704212083E-1,-2.121837616E0,3.345542908E-1,6.887178040E0,7.214384436E0
1.805012083E-1,-2.698139191E0,6.029461670E-1,8.007298737E0,8.471147043E0
1.905822083E-1,-2.813100128E0,5.504054260E-1,9.561367035E0,9.981794330E0
2.006622083E-1,-2.186203766E0,-2.640509033E-1,1.083851120E1,1.105995185E1
2.107432083E-1,-1.134490814E0,-1.597627716E0,1.156390274E1,1.172873950E1
2.208242083E-1,-6.982978821E-1,-3.337759094E0,1.162183228E1,1.211178109E1
2.309042083E-1,-9.416917419E-1,-4.110901337E0,1.064331711E1,1.144842750E1
2.409852083E-1,-1.527723083E0,-3.375780029E0,9.159003754E0,9.880140606E0
2.510652083E-1,-2.517764282E0,-2.294129333E0,8.282276917E0,8.955349089E0
2.611462083E-1,-3.325634308E0,-1.315314789E0,7.947722626E0,8.715284934E0
2.712262083E-1,-3.465892639E0,-1.003363495E0,7.880662079E0,8.667409353E0
2.813072083E-1,-3.157234497E0,-1.483265533E0,8.039930878E0,8.764056985E0
2.913872083E-1,-2.464774475E0,-2.481689301E0,8.333769836E0,9.038009443E0
3.014682083E-1,-1.927092590E0,-3.395089874E0,8.850944366E0,9.673651704E0
3.115482083E-1,-1.721420288E0,-3.595822449E0,9.000782776E0,9.844151435E0
3.216292083E-1,-1.696721649E0,-3.188968506E0,8.508157196E0,9.243220400E0
3.317092083E-1,-1.741029510E0,-2.957699432E0,7.626340942E0,8.363028510E0
3.417902083E-1,-1.691482544E0,-2.956352234E0,7.094646606E0,7.869888322E0
3.518702083E-1,-1.563498688E0,-2.999013519E0,7.359745331E0,8.099658114E0
3.619512083E-1,-1.521885223E0,-3.482508087E0,8.327482910E0,9.153740701E0
3.720312083E-1,-1.374890900E0,-4.652924194E0,9.371861115E0,1.055328429E1
3.821122083E-1,-1.568139038E0,-5.342540131E0,1.031624725E1,1.172291570E1
3.921922083E-1,-2.179617462E0,-5.615871735E0,1.067400330E1,1.225655310E1
4.022732083E-1,-2.958148499E0,-5.672154694E0,1.061622345E1,1.239468361E1
4.123532083E-1,-3.547622681E0,-5.777535553E0,1.004111938E1,1.211567671E1
4.224342083E-1,-3.448678436E0,-6.397097168E0,7.549550629E0,1.047911971E1
4.325142083E-1,-3.516637115E0,-7.231162720E0,5.587430878E0,9.791620637E0
4.425952083E-1,-3.778292999E0,-7.636220398E0,4.459825745E0,9.616517334E0
4.526752083E-1,-4.495900726E0,-8.071066132E0,4.340374146E0,1.020755013E1
4.627562083E-1,-4.629423065E0,-8.534053345E0,4.874762878E0,1.086392827E1
4.728362083E-1,-4.381388855E0,-8.915909271E0,6.008056183E0,1.160976940E1
4.829165833E-1,-4.989873505E0,-9.368567963E0,6.999594269E0,1.271468534E1
