"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-3.737916704E-4,-3.834126892E0,1.172811127E0,9.095386047E0,9.939922651E0
9.705208358E-3,-3.980372772E0,1.088536377E0,8.412955170E0,9.370490571E0
1.978520834E-2,-4.114643555E0,9.440867615E-1,7.897127838E0,8.954675845E0
2.986420837E-2,-4.341721344E0,8.863069153E-1,7.581134949E0,8.781212404E0
3.994420834E-2,-4.889432373E0,8.369096375E-1,7.605234833E0,9.080009005E0
5.002320831E-2,-5.032235413E0,7.731422424E-1,7.890840912E0,9.390767406E0
6.010320835E-2,-4.632117462E0,6.973997498E-1,8.357270966E0,9.580545735E0
7.018220832E-2,-3.976331177E0,5.046006775E-1,8.876092072E0,9.739139692E0
8.026220836E-2,-3.384461975E0,2.426454163E-1,9.387578430E0,9.981988201E0
9.034120833E-2,-2.873724060E0,-3.936813354E-2,9.656119995E0,1.007474532E1
1.004212084E-1,-2.589914246E0,-3.079096985E-1,9.690398712E0,1.003525243E1
1.105002083E-1,-2.229613495E0,-6.197113037E-1,9.768685913E0,1.003904592E1
1.205802084E-1,-4.290078735E-1,-8.553213501E-1,1.016431320E1,1.020925488E1
1.306592083E-1,1.259929962E0,-9.454339600E-1,1.099523529E1,1.110749603E1
1.407382084E-1,-1.281335449E-1,-1.548080750E0,1.144819336E1,1.155309930E1
1.508182083E-1,-1.230590973E0,-1.828447723E0,1.155058044E1,1.175897461E1
1.608972083E-1,-1.228046265E0,-1.892215118E0,1.121123611E1,1.143592545E1
1.709772084E-1,-7.039860535E-1,-1.630858612E0,1.019110748E1,1.034475557E1
1.810562083E-1,-3.528163147E-1,-1.224154358E0,9.765392761E0,9.848143430E0
1.911362084E-1,-4.272116089E-1,-1.368304596E0,9.739496613E0,9.844417783E0
2.012152083E-1,-6.589297485E-1,-1.836381226E0,9.339378662E0,9.540989373E0
2.112952084E-1,-9.963281250E-1,-2.459984436E0,9.357790375E0,9.726892302E0
