"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.332195000E-1,-5.118007050E0,-7.026538239E0,7.218888245E0,1.129949482E1
6.433005000E-1,-5.671555939E0,-7.905211029E0,6.458918610E0,1.167803656E1
6.533805000E-1,-5.631589050E0,-8.264164581E0,5.634133759E0,1.147844391E1
6.634605000E-1,-5.594017181E0,-8.532406769E0,5.509443054E0,1.159521264E1
6.735415000E-1,-5.787564697E0,-9.118737488E0,5.629792786E0,1.217956671E1
6.836215000E-1,-6.325845337E0,-8.996441803E0,5.567522278E0,1.232678339E1
6.937025000E-1,-7.265591125E0,-8.633296967E0,5.416785736E0,1.251655698E1
7.037825000E-1,-8.222700806E0,-8.410111084E0,5.609285431E0,1.303099613E1
7.138625000E-1,-8.784931641E0,-7.761659546E0,6.225853271E0,1.327326756E1
7.239435000E-1,-1.089584198E1,-5.207969971E0,6.625222778E0,1.377446553E1
7.340235000E-1,-1.086799988E1,-6.777007141E0,6.184239807E0,1.422273072E1
7.441035000E-1,-9.184750214E0,-9.043743439E0,6.107599182E0,1.426364959E1
7.541845000E-1,-7.576195221E0,-8.539591827E0,5.400020599E0,1.262868105E1
7.642645000E-1,-6.306236115E0,-8.016429749E0,4.392016754E0,1.110502458E1
7.743455000E-1,-5.911357269E0,-7.347620544E0,3.948788452E0,1.022372744E1
7.844255000E-1,-6.257287903E0,-7.087611237E0,3.668271790E0,1.014120816E1
7.945055000E-1,-6.877747650E0,-6.493197327E0,3.558100891E0,1.010569672E1
8.045865000E-1,-7.728129272E0,-5.512736206E0,3.543730774E0,1.013273262E1
8.146665000E-1,-9.098978577E0,-4.497547302E0,3.694467316E0,1.080131620E1
8.247465000E-1,-1.039752823E1,-3.620371399E0,4.069437561E0,1.173780237E1
8.348275000E-1,-1.095541809E1,-3.002606049E0,4.497696991E0,1.221745091E1
8.449075000E-1,-1.030517029E1,-2.910846863E0,5.457201691E0,1.201876094E1
8.549885000E-1,-8.088130646E0,-3.388503571E0,8.454718323E0,1.218121815E1
8.650685000E-1,-5.295687561E0,-3.434757385E0,1.076740906E1,1.248114429E1
8.751485000E-1,-4.398303680E0,-4.449946289E0,8.089627533E0,1.022688471E1
8.852295000E-1,-5.803431702E0,-5.344935150E0,5.865851898E0,9.831397142E0
8.953095000E-1,-5.697601776E0,-4.697830811E0,6.196663971E0,9.640068708E0
9.053895000E-1,-5.248086548E0,-4.177512817E0,6.570586395E0,9.389708799E0
9.154705000E-1,-5.170547791E0,-4.202959900E0,6.274951172E0,9.152838280E0
9.255505000E-1,-5.560935974E0,-4.708907776E0,4.667743378E0,8.653649495E0
9.356315000E-1,-5.913752289E0,-5.921087036E0,2.591710510E0,8.760633607E0
9.457115000E-1,-7.958799591E0,-3.245401154E0,3.891906738E0,9.435150112E0
9.557915000E-1,-9.786498871E0,-3.729045410E0,1.710193634E0,1.061160224E1
9.658725000E-1,-1.100152222E1,-5.212011566E0,-2.539768524E0,1.243579430E1
9.759525000E-1,-1.005638763E1,-8.545729065E0,-4.195026398E0,1.384769526E1
9.860325000E-1,-1.030666718E1,-9.567055206E0,-4.877457275E0,1.488440536E1
9.961135000E-1,-1.100391724E1,-8.161927185E0,-5.669460297E0,1.482720574E1
1.006193500E0,-1.158231445E1,-7.146139526E0,-6.126459961E0,1.492483936E1
1.016274500E0,-1.002225861E1,-6.882837067E0,-5.784271545E0,1.346391143E1
1.026354500E0,-6.935228119E0,-6.906338196E0,-3.907624054E0,1.053871065E1
1.036434500E0,-2.981050873E0,-7.223378906E0,2.813698883E0,8.305466184E0
1.046515500E0,-2.415975952E0,-6.355633392E0,7.011569366E0,9.766940186E0
1.056595500E0,-4.675676880E0,-7.275171204E0,5.431904297E0,1.021252440E1
1.066675500E0,-5.340594177E0,-1.017928207E1,3.738775177E0,1.208793487E1
1.076756500E0,-4.763244781E0,-1.257609787E1,1.585053864E0,1.354101674E1
1.086836500E0,-4.619393921E0,-1.366658020E1,1.593436432E0,1.451389866E1
1.096917500E0,-4.329895935E0,-1.264600250E1,2.503094788E0,1.359907576E1
1.106997500E0,-4.614603882E0,-1.139640106E1,3.265459442E0,1.272146814E1
1.117077500E0,-4.633165283E0,-1.020697449E1,3.216511230E0,1.166166769E1
1.127158500E0,-5.733227692E0,-7.457342377E0,2.245181122E0,9.670713177E0
1.137238500E0,-7.196734314E0,-6.774163055E0,1.714684296E0,1.003107233E1
1.147318500E0,-9.544452209E0,-9.494905243E0,1.689386902E0,1.356848634E1
1.157399500E0,-1.144804367E1,-1.004336472E1,1.212029572E0,1.527729997E1
1.167479500E0,-1.236383926E1,-9.097182312E0,1.022673340E0,1.538405370E1
1.177560500E0,-1.094508957E1,-9.124425659E0,1.072519684E0,1.428987151E1
1.187640500E0,-9.188642120E0,-9.732012177E0,9.611512756E-1,1.341890520E1
1.197720500E0,-9.239236908E0,-1.051009415E1,4.887336731E-1,1.400230118E1
1.207801500E0,-9.453291779E0,-1.070918015E1,8.220904541E-1,1.430828772E1
1.217881500E0,-1.044782364E1,-1.046997757E1,9.382489014E-1,1.482085558E1
1.227961500E0,-1.231668732E1,-1.078776672E1,-2.155517578E-2,1.637306208E1
1.238042500E0,-1.305704773E1,-1.093700638E1,-9.377998352E-1,1.705825526E1
1.248122500E0,-1.211400879E1,-9.484127655E0,-5.075944519E-1,1.539336021E1
1.258203500E0,-1.104268661E1,-7.030430145E0,2.164648590E0,1.326851835E1
1.268283500E0,-9.320966949E0,-6.348448334E0,2.048789520E0,1.146214463E1
1.278363500E0,-2.931653595E0,-4.631369019E0,-2.335593109E0,5.958117736E0
1.288444500E0,6.545738068E0,-2.793191528E-1,-2.140548706E-1,6.555190732E0
1.298524500E0,7.014712830E0,2.746039581E0,6.197262726E0,9.754639653E0
1.308604500E0,-4.939727783E-1,2.496209106E0,4.590653687E0,5.248730349E0
1.318685500E0,-8.127798157E0,-2.763253784E-1,2.199675751E0,8.424727414E0
1.328765500E0,-9.720785522E0,-1.831591187E0,1.978884888E-1,9.893814093E0
1.338846500E0,-8.682694244E0,-1.286724243E0,-3.079096985E-1,8.782917909E0
1.348926500E0,-8.277187500E0,-5.987548828E-4,7.571255493E-1,8.311743040E0
1.359006500E0,-8.602760468E0,4.484674072E-1,1.544488220E0,8.751802931E0
1.369087500E0,-8.662635956E0,8.337661743E-1,1.638193359E0,8.855512702E0
1.379167500E0,-7.785759430E0,1.993554382E0,2.654430084E0,8.463941638E0
1.389247500E0,-6.841972046E0,1.630110168E0,2.612666931E0,7.503057319E0
1.399328500E0,-5.911057892E0,1.164129181E0,1.948647766E0,6.331905737E0
1.409408500E0,-5.469176788E0,8.384065247E-1,2.163151703E0,5.940879188E0
1.419488500E0,-4.556524658E0,2.906954956E-1,2.672093353E0,5.290227190E0
1.429569500E0,-3.446283417E0,2.336640930E-1,3.093018036E0,4.636618258E0
1.439649500E0,-2.539918213E0,-3.037184143E-1,2.400857391E0,3.508211171E0
1.449730500E0,-1.936373291E0,-1.498384094E0,2.384391632E0,3.417604405E0
1.459810500E0,-1.566193085E0,-2.516267395E0,2.148482208E0,3.660674553E0
1.469890500E0,-2.622247009E0,-4.121379547E0,1.415755920E0,5.085893587E0
1.479971500E0,-3.956272888E0,-6.840774536E0,-1.591191101E0,8.061028504E0
1.490051500E0,-3.043770447E0,-7.605683899E0,-2.182162170E0,8.477782602E0
1.500131500E0,-2.701731720E0,-9.225615234E0,-1.209185486E0,9.688831729E0
1.510212500E0,-3.750301208E0,-1.140059235E1,7.933502197E-3,1.200159689E1
1.520292500E0,-5.642216949E0,-1.351464615E1,1.818717957E0,1.475764235E1
1.530373500E0,-7.425907745E0,-1.520283554E1,2.959196320E0,1.717635460E1
1.540453500E0,-9.717642059E0,-1.523247391E1,3.134631500E0,1.833812267E1
1.550533500E0,-1.192270660E1,-1.485555771E1,2.863994293E0,1.926242433E1
1.560614500E0,-1.245275436E1,-1.546464111E1,3.482508087E0,2.015822608E1
1.570694500E0,-1.073268127E1,-1.530148041E1,3.532653809E0,1.902118274E1
1.580774500E0,-7.830666046E0,-1.482457214E1,3.446732483E0,1.711628566E1
1.590855500E0,-7.178921356E0,-1.450049606E1,3.048111420E0,1.646488023E1
1.600935500E0,-6.439159698E0,-1.382884277E1,2.268233185E0,1.542220969E1
1.611016500E0,-5.227429504E0,-1.249511627E1,1.653760986E0,1.364510444E1
1.621096500E0,-4.065246277E0,-1.015518219E1,1.847308502E0,1.109353421E1
1.631176500E0,-3.732338562E0,-7.961344299E0,2.418071594E0,9.119233763E0
1.641257500E0,-4.007915497E0,-6.646179199E0,2.453697510E0,8.139761424E0
1.651337500E0,-4.131408691E0,-6.208639069E0,2.035018158E0,7.730267509E0
1.661417500E0,-4.243974609E0,-5.995332642E0,1.689386902E0,7.537198556E0
1.671498500E0,-4.432881775E0,-5.673202515E0,1.807191925E0,7.423045888E0
1.681578500E0,-3.497926025E0,-5.778433685E0,1.580862579E0,6.937211892E0
1.691659500E0,-3.019371185E0,-7.932005310E0,1.541793823E-1,8.488644290E0
1.701739500E0,-3.150797882E0,-9.921967163E0,-1.019529877E0,1.046003828E1
1.711819500E0,-4.218527527E0,-1.001627106E1,-1.630559235E0,1.099001291E1
1.721900500E0,-5.226381683E0,-9.583970032E0,-1.767075348E0,1.105848554E1
1.731980500E0,-5.436694336E0,-9.002129974E0,-1.215023346E0,1.058641918E1
1.742060500E0,-4.934189301E0,-8.581354980E0,-5.786965942E-1,9.915682886E0
1.752141500E0,-3.780837708E0,-8.796607361E0,-1.384620667E0,9.674306653E0
1.762221500E0,-2.294129333E0,-9.976304169E0,-8.098159790E-1,1.026866477E1
1.772302500E0,-1.924547882E0,-1.038525375E1,1.071771240E0,1.061631168E1
1.782382500E0,-1.659299469E0,-9.607321472E0,2.786754913E0,1.014001497E1
1.792462500E0,-1.624871063E0,-9.349707184E0,4.215084686E0,1.038384174E1
1.802543500E0,-2.570903778E0,-9.713899841E0,5.046904907E0,1.124458294E1
1.812623500E0,-4.483775940E0,-1.040635986E1,4.418062592E0,1.216206600E1
1.822703500E0,-6.093678131E0,-1.073971664E1,2.889141998E0,1.268154440E1
