"t","a_x","a_y","a_z","a_abs"
2.622904163E-2,-2.540816345E0,4.322710876E0,8.358019409E0,9.746695105E0
3.630804166E-2,-2.453996887E0,4.258644104E0,8.439450073E0,9.766394824E0
4.638604162E-2,-2.410736847E0,4.174369354E0,8.529113617E0,9.797080725E0
5.646404164E-2,-2.342927856E0,4.101470947E0,8.578810272E0,9.793230343E0
6.654204166E-2,-2.202669525E0,3.964655457E0,8.456065521E0,9.595587008E0
7.662004163E-2,-2.073637848E0,3.924538879E0,8.302484894E0,9.414522545E0
8.669804165E-2,-2.094294891E0,3.956272888E0,8.441246338E0,9.554726893E0
9.677704162E-2,-2.117197266E0,3.972588959E0,8.612939301E0,9.718369755E0
1.068550416E-1,-2.100432129E0,4.020938416E0,8.666228485E0,9.781782917E0
1.169330417E-1,-2.031126251E0,4.040847015E0,8.578211517E0,9.697403327E0
1.270110416E-1,-1.957928467E0,4.048630829E0,8.493188324E0,9.610366454E0
1.370890416E-1,-1.974992981E0,4.046834564E0,8.481213226E0,9.602522848E0
1.471680416E-1,-2.098785553E0,4.079616394E0,8.497080231E0,9.656528526E0
1.572460416E-1,-2.099683685E0,4.033961334E0,8.451425171E0,9.597296653E0
1.673235833E-1,-2.027982788E0,3.804937592E0,8.544830933E0,9.571018751E0
1.774015833E-1,-1.880988464E0,3.646417236E0,8.673563232E0,9.595059948E0
1.874795833E-1,-1.723515930E0,3.605402527E0,8.791817322E0,9.657405778E0
1.975575833E-1,-1.623224487E0,3.445984039E0,8.922345886E0,9.701439061E0
2.076365833E-1,-1.512155457E0,3.312611389E0,9.059311066E0,9.763765940E0
2.177145833E-1,-1.437760162E0,3.313210144E0,9.300459595E0,9.977127062E0
2.277925833E-1,-1.346599731E0,3.303031311E0,9.559271393E0,1.020308856E1
2.378705833E-1,-7.720944214E-1,3.368594971E0,9.761800232E0,1.035549640E1
2.479485833E-1,-7.253915405E-1,3.206631775E0,9.645941162E0,1.019082240E1
2.580265833E-1,-8.036787415E-1,3.265758820E0,9.467063141E0,1.004670915E1
2.681055833E-1,-4.535568237E-1,3.335364075E0,9.418863373E0,1.000226747E1
2.781835833E-1,-3.444337463E-1,2.985541534E0,9.640851746E0,1.009842142E1
2.882615833E-1,-5.078938293E-1,2.740052032E0,9.793534241E0,1.018229612E1
2.983395833E-1,-8.171507263E-1,2.720293121E0,9.855056305E0,1.025621103E1
3.084175833E-1,-1.027164001E0,3.088377686E0,9.766739960E0,1.029477305E1
3.184955833E-1,-6.914122009E-1,2.617307281E0,9.430090027E0,9.810960511E0
3.285745833E-1,-6.415658569E-1,2.348017273E0,9.100625153E0,9.420518565E0
3.386525833E-1,-3.838018799E-1,2.283501434E0,8.776848450E0,9.077155468E0
3.487305833E-1,-4.760101318E-2,2.263592834E0,8.897647247E0,9.181189733E0
3.588085833E-1,1.842668152E-1,2.031725006E0,8.920998688E0,9.151288344E0
3.688865833E-1,3.600013733E-1,1.775757294E0,8.939709778E0,9.121476079E0
3.789655833E-1,4.177812195E-1,1.754052429E0,8.978030090E0,9.157306666E0
3.890435833E-1,3.852987671E-1,1.868264923E0,9.002279663E0,9.202168663E0
3.991215833E-1,4.260140991E-1,2.002984772E0,9.220525818E0,9.445185671E0
4.091995833E-1,6.891668701E-1,2.030527496E0,9.673034821E0,9.907855244E0
4.192775833E-1,7.249424744E-1,2.281256104E0,1.005234604E1,1.033340853E1
4.293555833E-1,-1.703457642E-1,2.401905212E0,1.007749374E1,1.036117978E1
4.394345833E-1,1.516346741E-1,1.406774597E0,8.330177307E0,8.449488849E0
4.495125833E-1,4.041595459E-1,1.009051666E0,8.769513702E0,8.836622702E0
4.595905833E-1,3.399430847E-1,1.715881805E0,9.015751648E0,9.183876602E0
4.696685833E-1,1.338217163E-1,2.267335052E0,8.880133667E0,9.165996424E0
