"t","a_x","a_y","a_z","a_abs"
7.366506667E-1,-1.522334290E0,2.895054703E1,6.800358582E-1,2.899851934E1
7.467306667E-1,-1.458716583E0,2.891686707E1,1.377285919E0,2.898637562E1
7.568096667E-1,-1.548679504E0,2.863290756E1,3.231629791E0,2.885628588E1
7.668886667E-1,-1.994302826E0,2.716640717E1,4.661306763E0,2.763546097E1
7.769676667E-1,-2.200124817E0,2.426424225E1,3.835474091E0,2.466383714E1
7.870476667E-1,-1.824855194E0,2.056184143E1,1.681453400E0,2.071102858E1
7.971266667E-1,-1.036145325E0,1.701646408E1,8.382568359E-3,1.704798279E1
8.072056667E-1,-6.261479187E-1,1.328637085E1,-1.485810242E0,1.338384637E1
8.172856667E-1,-5.468128967E-1,9.268575897E0,-2.176324310E0,9.536345789E0
8.273646667E-1,-2.685415649E-1,5.817652130E0,-2.383493500E0,6.292712622E0
8.374436667E-1,-2.818638611E-1,2.528392181E0,-2.484683075E0,3.556102395E0
8.475226667E-1,-3.095562744E-1,-9.580078125E-2,-1.770518188E0,1.799927091E0
8.576026667E-1,-8.378077698E-1,-1.543290710E0,-6.448590088E-1,1.870698056E0
8.676816667E-1,-8.795709229E-1,-2.053130493E0,-1.038839722E-1,2.236019166E0
8.777606667E-1,-4.802014160E-1,-2.184856567E0,-6.975494385E-1,2.343238537E0
8.878406667E-1,-3.137475586E-1,-2.005978546E0,-1.843266907E0,2.742265550E0
8.979196667E-1,-5.972579956E-2,-1.803749084E0,-2.218835907E0,2.860124248E0
9.079986667E-1,7.020401001E-2,-1.440005493E0,-1.847607880E0,2.343544175E0
9.180776667E-1,1.853146362E-1,-9.422904968E-1,-1.188528442E0,1.528022498E0
9.281576667E-1,3.823049927E-1,-5.975573730E-1,-7.000941467E-1,9.966763446E-1
9.382364167E-1,6.210585022E-1,-5.132826233E-1,-2.932402039E-1,8.574161951E-1
9.483154167E-1,7.099736023E-1,-3.589535522E-1,2.727328491E-1,8.410073576E-1
9.583954167E-1,6.343807983E-1,-1.441502380E-1,1.034947815E0,1.222430067E0
9.684744167E-1,2.152523804E-1,-1.179547119E-1,1.504221954E0,1.524116331E0
9.785534167E-1,-1.402583313E-1,-1.661544800E-1,1.722917175E0,1.736583803E0
9.886324167E-1,-1.698966980E-1,-2.619552612E-2,1.760938110E0,1.769308939E0
9.987124167E-1,-2.200424194E-2,2.191442871E-1,1.453926544E0,1.470513788E0
1.008791417E0,-3.891906738E-2,3.980223083E-1,7.129673767E-1,8.174710588E-1
1.018870417E0,-2.799179077E-2,8.704399109E-1,2.863545227E-1,9.167595603E-1
1.028950417E0,8.906478882E-2,1.354383545E0,2.360591125E-1,1.377683283E0
1.039029417E0,1.823208618E-1,1.756746826E0,1.682501221E-1,1.774178236E0
1.049108417E0,1.601669312E-1,2.299667816E0,1.621128845E-1,2.310931868E0
1.059188417E0,1.811233521E-2,3.326532440E0,1.609153748E-1,3.330471422E0
1.069267417E0,-2.110610962E-2,4.763095093E0,1.953437805E-1,4.767145847E0
1.079346417E0,1.070274353E-1,6.911577301E0,1.362167358E-2,6.912419346E0
1.089425417E0,-1.869612122E-1,9.491612091E0,-7.961943054E-1,9.526782246E0
1.099505417E0,-7.137158203E-1,1.229288681E1,-2.037712555E0,1.248105480E1
1.109584417E0,-1.215472412E0,1.578587311E1,-3.214714966E0,1.615566635E1
1.119663417E0,-1.280287628E0,2.004736130E1,-4.087549896E0,2.049985111E1
1.129743417E0,-1.304387512E0,2.478800308E1,-3.943998413E0,2.513367556E1
1.139822417E0,-2.516566772E0,2.925531326E1,-1.516346741E0,2.940247897E1
