"t","a_x","a_y","a_z","a_abs"
1.660624985E-3,-2.090852051E0,2.709665222E0,8.382568359E0,9.054358079E0
1.174062502E-2,-2.355352020E0,2.590213623E0,7.694598999E0,8.453623099E0
2.182062500E-2,-2.249073029E0,2.588417358E0,7.590415649E0,8.329024171E0
3.189962497E-2,-2.089055786E0,2.655777283E0,7.944728851E0,8.633424788E0
4.197962501E-2,-2.048490143E0,2.680775299E0,8.570278015E0,9.210457824E0
5.205962498E-2,-2.299218750E0,2.759960632E0,8.978030090E0,9.669995546E0
6.213962502E-2,-2.310445404E0,2.959795074E0,9.046288147E0,9.794583916E0
7.221862499E-2,-1.838626556E0,3.253783722E0,9.214837646E0,9.943887015E0
8.229862497E-2,-1.210382996E0,3.228336639E0,9.281449127E0,9.901135407E0
9.237862501E-2,-7.376660156E-1,2.893932037E0,8.961264954E0,9.445806655E0
1.024586250E-1,-4.972659302E-1,2.589465179E0,8.553662567E0,8.950851727E0
1.125376250E-1,-4.469705200E-1,2.217039642E0,7.989336090E0,8.303284807E0
1.226176250E-1,-5.510041809E-1,2.100881195E0,7.511380005E0,7.819087989E0
1.326976250E-1,-7.086264038E-1,2.186952209E0,7.241640930E0,7.597780907E0
1.427776250E-1,-8.113128662E-1,2.314636688E0,7.255262604E0,7.658629578E0
1.528576250E-1,-7.973918152E-1,2.368524628E0,7.475305023E0,7.882000242E0
1.629366250E-1,-5.935157776E-1,2.235301666E0,7.718100128E0,8.057164768E0
1.730166250E-1,-3.477268982E-1,2.203567657E0,8.081843719E0,8.384081484E0
1.830966250E-1,7.274871826E-2,2.002685394E0,8.492739258E0,8.725976236E0
1.931766250E-1,6.427633667E-1,1.673519897E0,9.023685150E0,9.200038439E0
2.032556250E-1,1.012195129E0,7.300318909E-1,1.021176453E1,1.028774126E1
2.133356250E-1,1.344953156E0,-4.728666687E-1,1.085662354E1,1.094982997E1
2.234156250E-1,1.085093536E0,-1.187929688E0,1.088461533E1,1.100288397E1
2.334956250E-1,5.882766724E-1,-1.548380127E0,1.097397949E1,1.109827808E1
2.435746250E-1,-3.249742126E-1,-1.760938110E0,1.126587250E1,1.140729567E1
2.536546250E-1,-1.121168518E0,-1.852397919E0,1.101424576E1,1.122506154E1
2.637346250E-1,-1.516346741E0,-1.735790405E0,1.053134995E1,1.078061257E1
2.738146250E-1,-1.368154907E0,-1.449286194E0,1.017688705E1,1.037021256E1
2.838946250E-1,-9.412426758E-1,-1.261426849E0,9.767189026E0,9.893185379E0
2.939736250E-1,-4.831951904E-1,-1.083147583E0,9.626930695E0,9.699715505E0
3.040536250E-1,-1.019380188E-1,-1.077459412E0,9.518406372E0,9.579737471E0
3.141336250E-1,-2.377056885E-1,-7.554789734E-1,9.474547577E0,9.507591928E0
3.242136250E-1,-3.493734741E-1,-4.129911804E-1,9.711953888E0,9.727007344E0
3.342926250E-1,-2.333647156E-1,-2.983296204E-1,1.004171814E1,1.004885878E1
3.443726250E-1,3.487747192E-2,-4.749623108E-1,1.013257919E1,1.014376492E1
3.544526250E-1,4.131408691E-1,-6.981481934E-1,9.945917358E0,9.978946256E0
3.645326250E-1,8.918453979E-1,-9.526190186E-1,9.548942871E0,9.637695843E0
3.746116250E-1,1.266815643E0,-1.542392578E0,9.161249084E0,9.376154944E0
3.846916250E-1,1.532513123E0,-2.230960693E0,9.025331726E0,9.422441024E0
3.947716250E-1,1.804497528E0,-2.831212463E0,9.322463837E0,9.908597647E0
4.048516250E-1,1.571132813E0,-3.285517731E0,9.773925018E0,1.043037369E1
4.149306250E-1,1.028511200E0,-3.667523346E0,9.985435181E0,1.068725776E1
4.250106250E-1,4.373904419E-1,-4.055217133E0,9.739795990E0,1.055934289E1
4.350906250E-1,-3.442840576E-2,-4.346810760E0,9.472601624E0,1.042238603E1
4.451706250E-1,-2.899470520E-1,-4.344864807E0,9.456734619E0,1.041113582E1
4.552506250E-1,-4.071533203E-1,-4.102518768E0,9.421258392E0,1.028380006E1
4.653296250E-1,-8.738827515E-1,-3.686833191E0,9.085207214E0,9.843647706E0
4.754096250E-1,-1.453028412E0,-3.559298401E0,8.474477234E0,9.305732699E0
4.854896250E-1,-1.739832001E0,-4.054468689E0,7.725285187E0,8.896390445E0
4.955696250E-1,-2.111958160E0,-4.397106171E0,6.999444580E0,8.531537633E0
5.056486250E-1,-1.810784454E0,-4.290527802E0,6.359824677E0,7.882571856E0
5.157286250E-1,-6.818321228E-1,-4.500092010E0,6.897506561E0,8.263856237E0
5.258086250E-1,-9.357041931E-1,-4.528233490E0,7.924221497E0,9.174624091E0
5.358886250E-1,-1.892813873E0,-4.436174927E0,8.698710938E0,9.946354323E0
5.459686250E-1,-2.646047516E0,-4.565955048E0,9.151219940E0,1.056382219E1
5.560476250E-1,-3.003953247E0,-4.141288147E0,9.418863373E0,1.071862817E1
5.661276250E-1,-3.013982391E0,-3.253035278E0,9.479936371E0,1.046592194E1
5.762076250E-1,-2.494412842E0,-3.304079132E0,9.407636719E0,1.027826167E1
5.862876250E-1,-1.815125427E0,-3.985911255E0,9.610914001E0,1.056181030E1
5.963660000E-1,-1.459015961E0,-4.912185059E0,1.009665390E1,1.132257522E1
6.064460000E-1,-2.045047302E0,-5.579946442E0,1.020742355E1,1.181141466E1
6.165260000E-1,-3.560944977E0,-5.855523376E0,9.485624542E0,1.170233122E1
6.266060000E-1,-5.228627014E0,-5.465883636E0,8.893905029E0,1.167544308E1
6.366850000E-1,-5.683081970E0,-5.329217834E0,8.576864319E0,1.158708699E1
6.467650000E-1,-5.343288574E0,-5.673501892E0,8.727750549E0,1.170098227E1
6.568450000E-1,-5.095553741E0,-5.813460846E0,9.548793182E0,1.228578228E1
6.669250000E-1,-5.009782104E0,-5.577401733E0,1.035636383E1,1.278513194E1
6.770040000E-1,-4.356390839E0,-4.691543884E0,2.110072083E1,2.205060418E1
6.870840000E-1,-4.440515900E0,-3.339255981E0,1.247670456E1,1.365785373E1
6.971640000E-1,-4.427492981E0,-3.211122437E0,8.643775177E0,1.022882450E1
7.072440000E-1,-4.122127991E0,-3.771257629E0,8.776998138E0,1.040432697E1
7.173240000E-1,-4.404440918E0,-4.765639801E0,8.254434814E0,1.049981508E1
7.274030000E-1,-5.139562225E0,-5.116659851E0,7.964188385E0,1.077142537E1
7.374830000E-1,-5.838458862E0,-4.759352875E0,7.164551239E0,1.039566429E1
7.475630000E-1,-5.094056854E0,-4.859644318E0,6.419550476E0,9.527653774E0
7.576430000E-1,-4.537364502E0,-5.619913330E0,7.145091705E0,1.015989360E1
7.677220000E-1,-5.491480408E0,-6.268215179E0,6.804699554E0,1.075875525E1
7.778020000E-1,-6.315067749E0,-6.794221344E0,7.273075562E0,1.178724533E1
7.878820000E-1,-6.905440063E0,-7.029532013E0,7.244035950E0,1.223010546E1
7.979620000E-1,-7.235354004E0,-6.885681152E0,7.776478729E0,1.265845859E1
8.080410000E-1,-7.047644348E0,-7.066355438E0,6.150410156E0,1.172306338E1
8.181210000E-1,-6.790479126E0,-6.859186249E0,3.729644165E0,1.034742907E1
8.282010000E-1,-6.609355774E0,-6.750661926E0,-4.272116089E-1,9.457141743E0
8.382810000E-1,-6.199807434E0,-6.688990173E0,-3.993994446E0,9.956515123E0
8.483610000E-1,-6.137536926E0,-7.529342651E0,3.714076538E0,1.039974638E1
8.584400000E-1,-6.163283386E0,-6.816075897E0,3.127446442E0,9.707001287E0
8.685200000E-1,-5.345683594E0,-6.040089569E0,9.761201477E-1,8.124766189E0
8.786000000E-1,-4.357139282E0,-6.289321289E0,3.508553925E0,8.417254638E0
8.886800000E-1,-4.453239441E0,-6.199508057E0,4.839436340E0,9.037996778E0
8.987590000E-1,-5.383105774E0,-6.233188019E0,5.062173157E0,9.667267335E0
9.088390000E-1,-6.301146698E0,-6.559060364E0,4.652774506E0,1.021636105E1
9.189190000E-1,-6.656358032E0,-7.112758942E0,3.829636230E0,1.046730890E1
9.289990000E-1,-6.620732117E0,-7.249275055E0,2.932851105E0,1.024635048E1
9.390780000E-1,-6.309229889E0,-7.256759491E0,2.218686218E0,9.868612295E0
9.491580000E-1,-5.816903687E0,-7.107669525E0,1.835333405E0,9.366097548E0
9.592380000E-1,-5.356311493E0,-6.713838501E0,1.766177216E0,8.768413892E0
9.693180000E-1,-5.198988647E0,-6.294560394E0,1.979034576E0,8.400449474E0
9.793980000E-1,-5.213358765E0,-6.232589264E0,2.016606445E0,8.372035601E0
9.894770000E-1,-5.533992004E0,-6.018235016E0,1.839225311E0,8.380153337E0
9.995570000E-1,-5.980663147E0,-5.881419525E0,1.776356049E0,8.574081182E0
1.009637000E0,-6.464157715E0,-5.951024780E0,1.717229004E0,8.952592158E0
1.019717000E0,-7.137158203E0,-5.880820770E0,1.749412079E0,9.411881999E0
1.029796000E0,-8.223000183E0,-6.121819611E0,2.000889130E0,1.044499711E1
1.039876000E0,-8.858877869E0,-6.919510803E0,2.348616028E0,1.148369906E1
